m730000000@mail.uic.edu.hk,m730000000,Rjaty,2.46
m730000001@mail.uic.edu.hk,m730000001,Mofugcl,3.62
m730000002@mail.uic.edu.hk,m730000002,Rclq,2.99
m730000003@mail.uic.edu.hk,m730000003,Drhvqs,1.24
m730000004@mail.uic.edu.hk,m730000004,Bvntmr,3.53
m730000005@mail.uic.edu.hk,m730000005,Tdlw,3.63
m730000006@mail.uic.edu.hk,m730000006,Oqldswt,3.06
m730000007@mail.uic.edu.hk,m730000007,Mjxqed,3.14
m730000008@mail.uic.edu.hk,m730000008,Prng,3.8
m730000009@mail.uic.edu.hk,m730000009,Oxvfpe,3.74
m730000010@mail.uic.edu.hk,m730000010,Gbsx,2.9
m730000011@mail.uic.edu.hk,m730000011,Jegpqbg,2.67
m730000012@mail.uic.edu.hk,m730000012,Obxmnshe,3.14
m730000013@mail.uic.edu.hk,m730000013,Poiefcg,3.47
m730000014@mail.uic.edu.hk,m730000014,Vuywu,1.05
m730000015@mail.uic.edu.hk,m730000015,Xwmlpl,3.92
m730000016@mail.uic.edu.hk,m730000016,Rfyg,1.53
m730000017@mail.uic.edu.hk,m730000017,Aqyq,1.33
m730000018@mail.uic.edu.hk,m730000018,Qhmhmd,1.12
m730000019@mail.uic.edu.hk,m730000019,Jjiv,3.47
m730000020@mail.uic.edu.hk,m730000020,Vgfnsa,1.52
m730000021@mail.uic.edu.hk,m730000021,Fkjymx,3.94
m730000022@mail.uic.edu.hk,m730000022,Qcaq,3.41
m730000023@mail.uic.edu.hk,m730000023,Uvvxysjg,3.66
m730000024@mail.uic.edu.hk,m730000024,Ysnancr,2.23
m730000025@mail.uic.edu.hk,m730000025,Xihvkrn,1.13
m730000026@mail.uic.edu.hk,m730000026,Qkbaytgx,3.96
m730000027@mail.uic.edu.hk,m730000027,Itjocuks,2.55
m730000028@mail.uic.edu.hk,m730000028,Modxais,1.64
m730000029@mail.uic.edu.hk,m730000029,Xgoxj,3.04
m730000030@mail.uic.edu.hk,m730000030,Wnrnep,3.99
m730000031@mail.uic.edu.hk,m730000031,Qpnglcj,1.53
m730000032@mail.uic.edu.hk,m730000032,Dvml,1.01
m730000033@mail.uic.edu.hk,m730000033,Trtqgxw,2.07
m730000034@mail.uic.edu.hk,m730000034,Yhbro,2.24
m730000035@mail.uic.edu.hk,m730000035,Akdtln,1.79
m730000036@mail.uic.edu.hk,m730000036,Fxckhknb,2.03
m730000037@mail.uic.edu.hk,m730000037,Hhtevo,2.8
m730000038@mail.uic.edu.hk,m730000038,Srafjyqm,1.58
m730000039@mail.uic.edu.hk,m730000039,Sdox,3.19
m730000040@mail.uic.edu.hk,m730000040,Meymq,3.17
m730000041@mail.uic.edu.hk,m730000041,Uwqlfnh,2.03
m730000042@mail.uic.edu.hk,m730000042,Obqvlnnf,2.56
m730000043@mail.uic.edu.hk,m730000043,Mihungv,1.49
m730000044@mail.uic.edu.hk,m730000044,Hgtvw,3.28
m730000045@mail.uic.edu.hk,m730000045,Kaxqt,2.31
m730000046@mail.uic.edu.hk,m730000046,Odyeku,3.3
m730000047@mail.uic.edu.hk,m730000047,Nywss,2.22
m730000048@mail.uic.edu.hk,m730000048,Iqca,1.83
m730000049@mail.uic.edu.hk,m730000049,Oyjywjiu,1.51
m730000050@mail.uic.edu.hk,m730000050,Scxuns,2.15
m730000051@mail.uic.edu.hk,m730000051,Cfnc,3.14
m730000052@mail.uic.edu.hk,m730000052,Casyxwlg,3.21
m730000053@mail.uic.edu.hk,m730000053,Fsagrr,3.63
m730000054@mail.uic.edu.hk,m730000054,Oamkn,3.54
m730000055@mail.uic.edu.hk,m730000055,Ukil,2.32
m730000056@mail.uic.edu.hk,m730000056,Rkapt,3.87
m730000057@mail.uic.edu.hk,m730000057,Tabticvq,3.31
m730000058@mail.uic.edu.hk,m730000058,Bjsotca,1.8
m730000059@mail.uic.edu.hk,m730000059,Bkhu,3.48
m730000060@mail.uic.edu.hk,m730000060,Csioj,2.92
m730000061@mail.uic.edu.hk,m730000061,Pmcya,3.3
m730000062@mail.uic.edu.hk,m730000062,Dxucmxvm,3.7
m730000063@mail.uic.edu.hk,m730000063,Aokc,3.31
m730000064@mail.uic.edu.hk,m730000064,Blvl,2.21
m730000065@mail.uic.edu.hk,m730000065,Upynnpb,2.47
m730000066@mail.uic.edu.hk,m730000066,Anidphca,3.02
m730000067@mail.uic.edu.hk,m730000067,Dkhycinm,2.12
m730000068@mail.uic.edu.hk,m730000068,Kdsj,1.37
m730000069@mail.uic.edu.hk,m730000069,Lekg,1.91
m730000070@mail.uic.edu.hk,m730000070,Xkgq,3.12
m730000071@mail.uic.edu.hk,m730000071,Bhmvtl,3.45
m730000072@mail.uic.edu.hk,m730000072,Rmrvkq,1.69
m730000073@mail.uic.edu.hk,m730000073,Epjhvfdm,1.47
m730000074@mail.uic.edu.hk,m730000074,Ewhthnhi,1.33
m730000075@mail.uic.edu.hk,m730000075,Rxan,1.59
m730000076@mail.uic.edu.hk,m730000076,Elqaja,1.43
m730000077@mail.uic.edu.hk,m730000077,Bjfi,2.06
m730000078@mail.uic.edu.hk,m730000078,Ebsjmjg,1.56
m730000079@mail.uic.edu.hk,m730000079,Fmxga,3.35
m730000080@mail.uic.edu.hk,m730000080,Ffrml,1.4
m730000081@mail.uic.edu.hk,m730000081,Dcsvxpna,3.58
m730000082@mail.uic.edu.hk,m730000082,Krhmutg,2.43
m730000083@mail.uic.edu.hk,m730000083,Kpwopud,1.81
m730000084@mail.uic.edu.hk,m730000084,Ptikj,3.48
m730000085@mail.uic.edu.hk,m730000085,Ogde,1.14
m730000086@mail.uic.edu.hk,m730000086,Rwyglcr,1.39
m730000087@mail.uic.edu.hk,m730000087,Pnybcpin,1.14
m730000088@mail.uic.edu.hk,m730000088,Brjudcja,1.83
m730000089@mail.uic.edu.hk,m730000089,Umwedvn,1.99
m730000090@mail.uic.edu.hk,m730000090,Kvoport,2.08
m730000091@mail.uic.edu.hk,m730000091,Eshaf,3.47
m730000092@mail.uic.edu.hk,m730000092,Dwxwjxvo,3.31
m730000093@mail.uic.edu.hk,m730000093,Umvd,1.77
m730000094@mail.uic.edu.hk,m730000094,Tkotpp,2.93
m730000095@mail.uic.edu.hk,m730000095,Subxhwc,3.79
m730000096@mail.uic.edu.hk,m730000096,Nbdx,1.93
m730000097@mail.uic.edu.hk,m730000097,Tppd,1.19
m730000098@mail.uic.edu.hk,m730000098,Nsmjny,2.05
m730000099@mail.uic.edu.hk,m730000099,Rikvien,1.17
m730000100@mail.uic.edu.hk,m730000100,Ysfu,1.4
m730000101@mail.uic.edu.hk,m730000101,Likbkn,2.16
m730000102@mail.uic.edu.hk,m730000102,Yxxjhqtf,1.3
m730000103@mail.uic.edu.hk,m730000103,Lafby,2.14
m730000104@mail.uic.edu.hk,m730000104,Poranrvx,1.39
m730000105@mail.uic.edu.hk,m730000105,Gxeef,1.2
m730000106@mail.uic.edu.hk,m730000106,Aspllq,2.48
m730000107@mail.uic.edu.hk,m730000107,Gclnhfpg,1.1
m730000108@mail.uic.edu.hk,m730000108,Almlp,1.63
m730000109@mail.uic.edu.hk,m730000109,Jsdqci,2.2
m730000110@mail.uic.edu.hk,m730000110,Edjdgxy,2.27
m730000111@mail.uic.edu.hk,m730000111,Jdafsia,1.15
m730000112@mail.uic.edu.hk,m730000112,Odbsj,1.87
m730000113@mail.uic.edu.hk,m730000113,Oxhdy,1.79
m730000114@mail.uic.edu.hk,m730000114,Xgtdji,2.33
m730000115@mail.uic.edu.hk,m730000115,Duger,2.02
m730000116@mail.uic.edu.hk,m730000116,Xownmkl,1.61
m730000117@mail.uic.edu.hk,m730000117,Ljsptmt,2.75
m730000118@mail.uic.edu.hk,m730000118,Vorp,3.26
m730000119@mail.uic.edu.hk,m730000119,Fomn,3.47
m730000120@mail.uic.edu.hk,m730000120,Kkjyfpbq,1.65
m730000121@mail.uic.edu.hk,m730000121,Kxxnchgo,2.94
m730000122@mail.uic.edu.hk,m730000122,Qpxndjd,2.14
m730000123@mail.uic.edu.hk,m730000123,Kyvir,1.91
m730000124@mail.uic.edu.hk,m730000124,Sabe,3.9
m730000125@mail.uic.edu.hk,m730000125,Jslfqyr,1.2
m730000126@mail.uic.edu.hk,m730000126,Ovfbqqbq,1.58
m730000127@mail.uic.edu.hk,m730000127,Oplvm,1.27
m730000128@mail.uic.edu.hk,m730000128,Jpcxyqum,2.37
m730000129@mail.uic.edu.hk,m730000129,Gssch,3.38
m730000130@mail.uic.edu.hk,m730000130,Mlfoj,2.94
m730000131@mail.uic.edu.hk,m730000131,Psvce,3.49
m730000132@mail.uic.edu.hk,m730000132,Xqmgooi,3.38
m730000133@mail.uic.edu.hk,m730000133,Uctenxsq,1.41
m730000134@mail.uic.edu.hk,m730000134,Lvmiiwv,3.66
m730000135@mail.uic.edu.hk,m730000135,Awichx,2.14
m730000136@mail.uic.edu.hk,m730000136,Adycxh,2.16
m730000137@mail.uic.edu.hk,m730000137,Amrl,2.14
m730000138@mail.uic.edu.hk,m730000138,Wdbqfya,2.71
m730000139@mail.uic.edu.hk,m730000139,Upkwmfar,2.07
m730000140@mail.uic.edu.hk,m730000140,Xvovntnn,1.81
m730000141@mail.uic.edu.hk,m730000141,Vapd,2.96
m730000142@mail.uic.edu.hk,m730000142,Fohm,2.95
m730000143@mail.uic.edu.hk,m730000143,Ytfxaiak,1.61
m730000144@mail.uic.edu.hk,m730000144,Mdslo,2.23
m730000145@mail.uic.edu.hk,m730000145,Ykfme,2.8
m730000146@mail.uic.edu.hk,m730000146,Ouisgkc,2.44
m730000147@mail.uic.edu.hk,m730000147,Tbbvwy,2.72
m730000148@mail.uic.edu.hk,m730000148,Tslqotpf,3.04
m730000149@mail.uic.edu.hk,m730000149,Apjoq,3.2
m730000150@mail.uic.edu.hk,m730000150,Jauxolws,3.37
m730000151@mail.uic.edu.hk,m730000151,Sbkwy,1.46
m730000152@mail.uic.edu.hk,m730000152,Chqu,2.26
m730000153@mail.uic.edu.hk,m730000153,Ocfkywvw,2.71
